gene_symbol,inheritance,original_inheritance
ABCC8,AR,AD;AR
ACAD9,AR,AR
ACADM,AR,AR
ACADVL,AR,AR
ACE,AR,AR
ADA,AR,AR
AGRN,AR,AR
AGXT,AR,AR
AK2,AR,AR
ALDH7A1,AR,AR
ALDOB,AR,AR
ALG2,AR,AR
ALPL,AR,AR
AMT,AR,AR
AP1S1,AR,AR
AQP2,AR,AD;AR
ARSB,AR,AR
ASL,AR,AR
ASS1,AR,AR
ATP7A,XL,XL
AVPR2,XL,XL
BCKDHA,AR,AR
BCKDHB,AR,AR
BLNK,AR,AR
BTK,XL,XL
CA5A,AR,AR
CACNA1C,AD,AD
CACNA1D,AD,AD
CAD,AR,AR
CASR,AR,AD;AR
CD247,AR,AR
CD3D,AR,AR
CD3E,AR,AR
CD40,AR,AR
CD40LG,XL,XL
CD79A,AR,AR
CFTR,AR,AR
CHAT,AR,AR
CHRNA1,AD,AD
CHRNB1,AD,AD
CHRND,AR,AR
CHRNE,AR,AR
CIITA,AR,AR
CLCN2,AD,AD
COL13A1,AR,AR
COL1A1,AD,AD
COL1A2,AD,AD
COLQ,AR,AR
COQ2,AR,AR
COQ4,AR,AR
COQ5,AR,AR
COQ6,AR,AR
COQ7,AR,AR
COQ8A,AR,AR
COQ9,AR,AR
CORO1A,AR,AR
CPS1,AR,AR
CPT2,AR,AD;AR
CTNS,AR,AR
CYBA,AR,AR
CYBB,XL,XL
CYBC1,AR,AR
CYP11A1,AR,AR
CYP11B1,AD,AD
CYP11B2,AR,AR
CYP21A2,AR,AR
DBT,AR,AR
DCLRE1C,AR,AR
DDC,AR,AR
DHCR7,AR,AR
DLAT,AR,AR
DLD,AR,AR
DOCK8,AR,AR
DOK7,AR,AR
DPAGT1,AR,AR
ECHS1,AR,AR
EDA,XL,XL
EIF2AK3,AR,AR
ETFA,AR,AR
ETFB,AR,AR
ETFDH,AR,AR
F10,AR,AR
F11,AR,AD;AR
F12,AR,AR
F13A1,AR,AR
F13B,AR,AR
F2,AR,AR
F5,AR,AR
F7,AR,AR
F8,XL,XL
F9,XL,XL
FAH,AR,AR
FAM111A,AD,AD
FAS,AD,AD
FASLG,AR,AR
FBP1,AR,AR
